"predictor" "output"
"1" "free" "gaither"
"2" "gaither" "pipe"
"3" "pipe" "dream"
"4" "dream" "for"
"5" "for" "fa"
"6" "fa" "oline"
"7" "oline" "help"
"8" "help" "how"
"9" "how" "about"
"10" "about" "a"
"11" "a" "::number::"
"12" "::number::" "nd"
"13" "nd" "tier"
"14" "tier" "guy"
"15" "guy" "like"
"16" "like" "jeremy"
"17" "jeremy" "trueblood"
"18" "trueblood" "is"
"19" "is" "he"
"20" "he" "more"
"21" "more" "type"
"22" "type" "of"
"23" "of" "guy"
"24" "guy" "we'll"
"25" "we'll" "look"
"26" "wondering" "if"
"27" "if" "you"
"28" "you" "and"
"29" "and" "your"
"30" "your" "staff"
"31" "staff" "might"
"32" "might" "consider"
"33" "consider" "doing"
"34" "doing" "a"
"35" "a" "piece"
"36" "piece" "on"
"37" "on" "tips"
"38" "tips" "for"
"39" "for" "librarians"
"40" "librarians" "and"
"41" "and" "archivists"
"42" "archivists" "looking"
"43" "looking" "to"
"44" "to" "relocate"
"45" "can" "you"
"46" "you" "send"
"47" "send" "me"
"48" "me" "the"
"49" "the" "picture"
"50" "picture" "thats"
"51" "thats" "your"
"52" "your" "background"
"53" "background" "pleasee"
"54" "bahaha" "im"
"55" "im" "pretty"
"56" "pretty" "sure"
"57" "sure" "i"
"58" "i" "fell"
"59" "fell" "off"
"60" "off" "my"
"61" "my" "chair"
"62" "chair" "laughing"
"63" "laughing" "at"
"64" "at" "this"
"65" "this" "joke"
"66" "joke" "mostly"
"67" "mostly" "because"
"68" "because" "its"
"69" "its" "true"
"70" "true" "my"
"71" "my" "mom"
"72" "mom" "really"
"73" "really" "does"
"74" "does" "say"
"75" "say" "surprise"
"76" "surprise" "like"
"77" "like" "that"
"78" "that" "along"
"79" "along" "with"
"80" "with" "the"
"81" "the" "rest"
"82" "rest" "of"
"83" "of" "my"
"84" "my" "asian"
"85" "asian" "relatives"
"86" "relatives" "in"
"87" "in" "my"
"88" "my" "mind"
"89" "mind" "this"
"90" "this" "joke"
"91" "joke" "isnt"
"92" "isnt" "racist"
"93" "racist" "because"
"94" "because" "its"
"95" "its" "true"
"96" "happy" "friday"
"97" "friday" "my"
"98" "my" "friend"
"99" "that" "background"
"100" "background" "is"
"101" "is" "just"
"102" "just" "too"
"103" "too" "much"
"104" "joseph" "thornley"
"105" "thornley" "ceo"
"106" "ceo" "of"
"107" "of" "thornley"
"108" "thornley" "fallis"
"109" "that's" "wonderful"
"110" "wonderful" "to"
"111" "to" "hear"
"112" "hear" "my"
"113" "my" "nephew"
"114" "nephew" "was"
"115" "was" "from"
"116" "from" "pittsburgh"
"117" "pittsburgh" "he"
"118" "he" "had"
"119" "had" "a"
"120" "a" "friend"
"121" "friend" "who"
"122" "who" "had"
"123" "had" "a"
"124" "a" "trans"
"125" "trans" "and"
"126" "and" "she"
"127" "she" "is"
"128" "is" "doing"
"129" "doing" "very"
"130" "very" "well"
"131" "well" "with"
"132" "with" "hers"
"133" "back" "from"
"134" "from" "the"
"135" "the" "rivanna"
"136" "rivanna" "trail"
"137" "trail" "with"
"138" "with" "sore"
"139" "sore" "feet"
"140" "feet" "and"
"141" "and" "happy"
"142" "happy" "dog"
"143" "i'm" "in"
"144" "in" "socal"
"145" "socal" "with"
"146" "with" "the"
"147" "the" "fam"
"148" "fam" "aww"
"149" "aww" "sorry"
"150" "sorry" "that"
"151" "that" "would"
"152" "would" "be"
"153" "be" "so"
"154" "so" "fun"
"155" "fun" "you"
"156" "you" "gotta"
"157" "gotta" "come"
"158" "come" "visit"
"159" "visit" "sac"
"160" "sac" "sometime"
"161" "sometime" "tho"
"162" "trip" "o"
"163" "o" "meter"
"164" "meter" "::number::"
"165" "::number::" "::number::"
"166" "::number::" "out"
"167" "out" "of"
"168" "of" "::number::"
"169" "he" "nearly"
"170" "nearly" "ran"
"171" "ran" "into"
"172" "into" "the"
"173" "the" "dumpster"
"174" "dumpster" "that"
"175" "that" "was"
"176" "was" "set"
"177" "set" "up"
"178" "up" "against"
"179" "against" "a"
"180" "a" "fence"
"181" "fence" "gingerly"
"182" "gingerly" "he"
"183" "he" "hoisted"
"184" "hoisted" "himself"
"185" "himself" "up"
"186" "up" "onto"
"187" "onto" "the"
"188" "the" "dumpster"
"189" "dumpster" "and"
"190" "and" "over"
"191" "over" "the"
"192" "the" "wood"
"193" "wood" "plank"
"194" "plank" "barrier"
"195" "barrier" "he"
"196" "he" "had"
"197" "had" "no"
"198" "no" "idea"
"199" "idea" "where"
"200" "where" "he"
"201" "he" "was"
"202" "was" "going"
"203" "going" "all"
"204" "all" "that"
"205" "that" "mattered"
"206" "mattered" "was"
"207" "was" "putting"
"208" "putting" "as"
"209" "as" "much"
"210" "much" "distance"
"211" "distance" "between"
"212" "between" "himself"
"213" "himself" "and"
"214" "and" "the"
"215" "the" "nightmarish"
"216" "nightmarish" "sounds"
"217" "sounds" "coming"
"218" "coming" "from"
"219" "from" "the"
"220" "the" "store"
"221" "store" "beyond"
"222" "beyond" "the"
"223" "the" "fence"
"224" "fence" "was"
"225" "was" "what"
"226" "what" "looked"
"227" "looked" "like"
"228" "like" "a"
"229" "a" "large"
"230" "large" "gravel"
"231" "gravel" "lot"
"232" "lot" "gleaming"
"233" "gleaming" "white"
"234" "white" "in"
"235" "in" "the"
"236" "the" "moonlight"
"237" "moonlight" "with"
"238" "with" "control"
"239" "control" "and"
"240" "and" "effort"
"241" "effort" "he"
"242" "he" "could"
"243" "could" "barely"
"244" "barely" "muster"
"245" "muster" "he"
"246" "he" "lowered"
"247" "lowered" "himself"
"248" "himself" "to"
"249" "to" "the"
"250" "the" "ground"
"251" "ground" "on"
"252" "on" "the"
"253" "the" "other"
"254" "other" "side"
"255" "side" "of"
"256" "of" "the"
"257" "the" "fence"
"258" "how" "did"
"259" "did" "my"
"260" "my" "parents"
"261" "parents" "ever"
"262" "ever" "have"
"263" "have" "a"
"264" "a" "smart"
"265" "smart" "child"
"266" "child" "like"
"267" "like" "me"
"268" "there" "are"
"269" "are" "a"
"270" "a" "few"
"271" "few" "slogans"
"272" "slogans" "that"
"273" "that" "transcend"
"274" "transcend" "the"
"275" "the" "form's"
"276" "form's" "limitations"
"277" "limitations" "for"
"278" "for" "example"
"279" "example" "just"
"280" "just" "do"
"281" "do" "it"
"282" "it" "has"
"283" "has" "story"
"284" "story" "value"
"285" "rt" "u"
"286" "u" "have"
"287" "have" "no"
"288" "no" "idea"
"289" "idea" "how"
"290" "how" "much"
"291" "much" "i"
"292" "i" "like"
"293" "like" "u"
"294" "u" "how"
"295" "how" "much"
"296" "much" "u"
"297" "u" "make"
"298" "make" "me"
"299" "me" "smile"
"300" "smile" "how"
"301" "how" "much"
"302" "much" "i"
"303" "i" "love"
"304" "love" "talking"
"305" "talking" "to"
"306" "to" "u"
"307" "u" "or"
"308" "or" "how"
"309" "how" "much"
"310" "much" "i"
"311" "i" "wish"
"312" "wish" "u"
"313" "u" "were"
"314" "were" "mine"
"315" "what" "a"
"316" "a" "great"
"317" "great" "night"
"318" "night" "last"
"319" "last" "night"
"320" "night" "celebrating"
"321" "celebrating" "a"
"322" "a" "great"
"323" "great" "friend"
"324" "friend" "client's"
"325" "client's" "success"
"326" "success" "very"
"327" "very" "happy"
"328" "happy" "for"
"329" "for" "her"
"330" "her" "her"
"331" "her" "future"
"332" "men" "should"
"333" "should" "lower"
"334" "lower" "their"
"335" "their" "eyelids"
"336" "kids" "halloween"
"337" "halloween" "polo"
"338" "polo" "shirts"
"339" "shirts" "are"
"340" "are" "the"
"341" "the" "best"
"342" "best" "thing"
"343" "thing" "for"
"344" "for" "this"
"345" "this" "holiday"
"346" "holiday" "after"
"347" "after" "all"
"348" "all" "it"
"349" "it" "is"
"350" "is" "a"
"351" "a" "extra"
"352" "extra" "holiday"
"353" "holiday" "for"
"354" "for" "children"
"355" "children" "who"
"356" "who" "have"
"357" "have" "the"
"358" "the" "chance"
"359" "chance" "to"
"360" "to" "feel"
"361" "feel" "this"
"362" "this" "climate"
"363" "climate" "and"
"364" "and" "play"
"365" "play" "with"
"366" "with" "other"
"367" "other" "children"
"368" "children" "in"
"369" "in" "the"
"370" "the" "neighborhood"
"371" "neighborhood" "use"
"372" "use" "your"
"373" "your" "imagination"
